"","tSI.fup.CP","tSI.PL.CP","tSI.PA.CP","tSI.PK.CP","tSI.PSk.CP","tSI.PR.CP","tSI.PG.CP","tSI.VSk.CP","tSI.VK.CP","tSI.VFil.CP","tSI.VG.CP","tSI.VL.CP","tSI.VA.CP","tSI.VR.CP","tSI.VP.CP","tSI.QSk.CP","tSI.QK.CP","tSI.QG.CP","tSI.QL.CP","tSI.QA.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","Times","Year"
"0.01",0.000469556053741834,0.418490900382787,0.018531423661518,0.00429424513136879,0.00339260643407657,0.216653246314316,0.000960760920966229,0.00232203933739518,0.0024962723249168,0.00103112542291823,0.00124882476817267,0.251125155206782,0.0144897080237768,0.167538651018102,0.103610553781481,0.00330339529257593,0.00225425520565264,0.01649372270732,0.0048105460704808,0.00573886983241482,0.00282407677373363,0.00230806469412372,0.00412127910249925,0.00425927040461035,0.00430272440408262,0.0025808777078248,0.01,1.14155251141553e-06
"1.01",0.000767130628682849,0.334067962931612,0.0337959463509966,0.00414635556375972,0.00342697864744993,0.264962121421758,0.00103896765895203,0.00262826856040718,0.00253571454542967,0.000980119382341723,0.00107312202505201,0.192398997476205,0.0283355732073498,0.214580409565279,0.123915318030382,0.00356733796808741,0.00253907852640131,0.00293402839445897,0.00229257549707686,0.00285954403920933,0.00334360855801403,0.0017938607534196,0.00344670494355288,0.00531562952060268,0.00480724830987633,0.0029416562405955,1.01,0.000115296803652968
"2.01",0.000766865407254727,0.333998810118004,0.0338026751763556,0.00419725480188371,0.00342604404539039,0.264830261603329,0.00103835058971913,0.00262881917257765,0.00253484100932463,0.000979901439960343,0.00107307545546547,0.192447414342551,0.0283262293380148,0.21456697804386,0.123920747214211,0.00356841173053386,0.00253768660058876,0.00293347534109521,0.00229348902172902,0.00285877970410158,0.00334314530140096,0.00179321825203314,0.00344742999710409,0.00531642933861025,0.00481021683216059,0.0029444184359398,2.01,0.000229452054794521
"3.01",0.000767196043418017,0.333929055997133,0.0338093543699999,0.00424866979632191,0.00342510585756173,0.264698259596068,0.00103773369888849,0.00262936900729219,0.00253396809877077,0.000979683591255109,0.00107303008391449,0.19249566478853,0.0283168576016619,0.214553277156783,0.123926049292137,0.00356947935614057,0.00253628179046272,0.00293291545859314,0.00229440132935884,0.0028580045194258,0.00334263447344483,0.00179293014440253,0.00344852790293463,0.00531781613339977,0.00481316967108078,0.0029471882398747,3.01,0.000343607305936073
"4.01",0.000768121089291934,0.333858700118595,0.0338159839267581,0.00430060148847321,0.00342416407231832,0.264566116010759,0.00103711698548105,0.00262991806862884,0.00253309582107871,0.000979465832667725,0.00107298590582393,0.192543748359528,0.028307458032708,0.214539306634031,0.123931224022772,0.00357054083340109,0.00253486417450079,0.00293234874126957,0.00229531239288061,0.0028572185057405,0.00334207602742025,0.00179299651185307,0.00344999895937407,0.00531979042455529,0.00481610665491272,0.00294996569888584,4.01,0.000457762557077626
"5.01",0.000769639075854161,0.333787742364818,0.033822563770638,0.0043530508154696,0.00342321868374613,0.264433831350372,0.00103650045237011,0.0026304663488136,0.00253222417821305,0.00097924816494166,0.00107294291955245,0.192591664449261,0.028298030740602,0.214525066227781,0.1239362712052,0.00357159614381238,0.00253343381052175,0.00293177516633127,0.0022962222029307,0.00285642164471353,0.00334146992770411,0.0017934174363901,0.00345184345318266,0.00532235270524804,0.00481902764233639,0.00295275084784373,5.01,0.000571917808219178
"6.01",0.000771748521565633,0.333716182527647,0.0338290938242685,0.00440601871453272,0.00342226968804067,0.264301406110698,0.00103588410234437,0.00263101384569279,0.00253135317191849,0.000979030586161238,0.00107290112476783,0.192639412471994,0.0282885758230597,0.214510555695343,0.123941190647438,0.00357264526574119,0.00253199076901437,0.00293119471501324,0.00229713074985803,0.00285561393136577,0.0033408161459252,0.00179419299895089,0.00345406167031489,0.00532550345252173,0.0048219324759905,0.00295554372753623,6.01,0.000686073059360731
"7.01",0.000774447931565289,0.333644020409193,0.0338355740102647,0.00445950612100935,0.00342131708135472,0.264168840788496,0.00103526793797079,0.00263156055686964,0.00253048280381753,0.000978813094226253,0.00107286052165737,0.192686991840825,0.0282790933803239,0.214495774784732,0.123945982155883,0.0035736881785795,0.00253053511839804,0.00293060736825514,0.00229803802392265,0.00285479536071277,0.00334011466070416,0.00179532327898805,0.0034566538924079,0.00532924312362011,0.00482482099997004,0.00295834437734604,7.01,0.000800228310502283
"8.01",0.000777735797716482,0.33357125581884,0.033842004252882,0.0045135139684562,0.00342036085958148,0.264036135880344,0.0010346519618024,0.00263210648004676,0.00252961307558955,0.000978595687062632,0.00107282111011765,0.192734401968149,0.0282695835122718,0.214480723252792,0.123950645537184,0.00357472486181162,0.00252906692829585,0.00293001310716234,0.00229894401540977,0.00285396592837985,0.00333936545821803,0.00179680835431151,0.00345962039669904,0.00533357215522271,0.00482769305785259,0.00296115283733713,8.01,0.000914383561643836
"9.01",0.000781610598954049,0.333497888573799,0.0338483844764763,0.00456804318871231,0.00341940101874318,0.263903291881597,0.00103403617648214,0.00263265161290749,0.00252874398888463,0.000978378362565107,0.00107278288996598,0.19278164226704,0.0282600463191382,0.214465400859005,0.123955180599172,0.00357575529498225,0.00252758626914925,0.00292941191316853,0.00229984871455735,0.00285312563052499,0.00333856853191843,0.00179864830104592,0.00346296145594199,0.00533849096376011,0.00483054849300321,0.0029639691476994,9.01,0.00102853881278539
