"TIME","age","BDW_F","TotalVolume_F","Hct_F","CardOut_F","TotalBloodFlow_F","QUr_F","GFR_F","PTC_kidneyTissue_F","SA_hands_F","V_skin_F","Q_skin_F","SA_skin_F","V_skinBarrier_F","V_skinPlasma_F","V_skinTissue_F","V_kidney_F","Q_kidney_F","V_kidneyPlasma_F","V_kidneyTissue_F","V_filtrate_F","V_gut_F","Q_gut_F","V_liver_F","Q_liver_F","Q_hepatic_F","V_plasma_F","Q_adipose_F","V_adipose_F","V_rest_F","Q_rest_F","AbsPFOA","fBAc_dust","fBAc_cosm","kAbl","kAap","fup","PL","PF","PK","PSk","PR","PG","CLdermalabs_F","CL_PltPT_F","CL_FiltPT_F","CLbiliary_F","CLfecal_F"
10,0.0273972602739726,4.01028546938571,3.70310343615657,0.448413972364469,491.681815222403,491.681815222403,0.0882262803264856,16.0057678816268,0.0019769422092351,114.215787608348,0.182317346532464,19.9716357319554,2284.31575216695,0.00949133195025368,0.0145853877225971,0.167731958809867,0.028412506600102,88.9209326757043,0.0102285023760367,0.0181840042240653,0.0014206253300051,0.0522741224166683,44.3470723902314,0.15219413441864,34.9276682424298,79.2747406326612,0.168892076154873,32.7391522333068,1.60967977740513,1.50933347262869,270.775353948775,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0104713034079333,58.1155481712226,467.401644575374,0.0030103626721495,5.20722710219005e-05
11,0.0301369863013699,4.02113738602014,3.71418073537206,0.445249661413576,496.020057516262,496.020057516262,0.0884650224924431,16.1378414769832,0.0019818710214682,114.421535531312,0.182753507557364,20.1344088420201,2288.43071062623,0.00950842960265199,0.0146202806045891,0.168133226952775,0.0284833432231704,89.6546748721291,0.0102540035603413,0.0182293396628291,0.00142416716115852,0.0524296317805328,44.7344939659348,0.152586286603799,35.218811769596,79.9533057355308,0.170153768875862,33.006329760951,1.61354757813585,1.51422661919548,273.271338305631,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0104901663775107,58.2604389138156,468.566946693358,0.00301117629234357,5.20724117404411e-05
12,0.0328767123287671,4.03198734007865,3.7252402658032,0.442151400287733,500.31596710288,500.31596710288,0.0887037214817303,16.2684504036806,0.00198679685061268,114.627060922782,0.183189295020127,20.295320804333,2292.54121845563,0.00952550876268316,0.0146551436016102,0.168534151418517,0.0285541369734504,90.3802800204479,0.0102794893104421,0.0182746476630083,0.00142770684867252,0.0525851869154498,45.1182047303266,0.152978264657431,35.5068048141018,80.6250095444284,0.171397519136613,33.2705695020004,1.61741739345012,1.51911846965001,275.74478723167,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105090089454007,58.4052419634911,469.731543529964,0.00301198779216473,5.20725520547656e-05
13,0.0356164383561644,4.04283533198441,3.736282331019,0.439117810304676,504.570235649401,504.570235649401,0.088942377303657,16.3976205341797,0.00199171969939976,114.832364556041,0.183624709215947,20.4544044264595,2296.64729112082,0.00954256949460699,0.0146899767372758,0.168934732478671,0.0286248878901949,91.0978918565539,0.0103049596404702,0.0183199282497247,0.00143124439450975,0.0527407877701103,45.4982706051894,0.153370068675455,35.7917030076622,81.2899736128516,0.172623630809542,33.5319268050809,1.6212892211573,1.52400902550045,278.196038948455,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105278311824978,58.5499574005377,470.895435730925,0.00301279718278818,5.20726919671191e-05
14,0.0383561643835616,4.05368136216062,3.74730722930702,0.43614754155988,508.783544221695,508.783544221695,0.0891809899675336,16.5253772952244,0.0019966395705582,115.037447199445,0.184059750439884,20.6116919474988,2300.7489439889,0.00955961186227388,0.0147247800351907,0.169334970404693,0.0286955960126214,91.8076516401358,0.0103304145645437,0.0183651814480777,0.00143477980063107,0.0528964342932248,45.8747564128514,0.153761698753744,36.0735610287672,81.9483174416186,0.173832402484576,33.7904560151033,1.62516305907543,1.52889828824754,280.625427177339,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105466331592451,58.6945853051717,472.058623941389,0.00301360447529944,5.20728314797278e-05
15,0.0410958904109589,4.06452543103053,3.7583152537592,0.433239272325875,512.956563424633,512.956563424633,0.0894195594826717,16.6517456752204,0.00200155646681427,115.242309616469,0.184494418986866,20.7672150475527,2304.84619232938,0.00957663592912858,0.0147595535189493,0.169734865467917,0.0287662613799119,92.5096981956689,0.0103558540967683,0.0184104072831436,0.00143831306899559,0.0530521264335233,46.2477258937083,0.15415315498812,36.3524326183565,82.6001585120648,0.175024127554991,34.0462104913984,1.6290389050312,1.53378625938459,283.033281177948,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0105654149456379,58.8391257575369,473.221108805924,0.0030144096806953,5.20729705947997e-05
16,0.0438356164383562,4.0753675390174,3.76930669235643,0.430391708464093,517.089953541133,517.089953541133,0.0896580858583828,16.7767502314968,0.00200647039089178,115.44695256575,0.184928715151679,20.9210048570436,2308.93905131501,0.00959364175821386,0.0147942972121343,0.170134417939545,0.0288368840312127,93.2041679527601,0.0103812782512366,0.0184556057799761,0.00144184420156064,0.0532078641397553,46.6172417234829,0.154544437474357,36.6283705952505,83.2456123187334,0.176199094302018,34.2992426255212,1.63291675685987,1.53867294039754,285.419925787075,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010584176611228,58.983578837704,474.382890968506,0.00301521280988481,5.20731093145245e-05
17,0.0465753424657534,4.08620768654456,3.78028182805197,0.427603582848997,521.184364669986,521.184364669986,0.0898965691039803,16.9004150974553,0.00201138134551208,115.651376801134,0.185362639228981,21.0730919658857,2313.02753602267,0.00961062941217421,0.0148290111383185,0.170533628090663,0.028907464005635,93.891194985863,0.0104066870420286,0.0185007769636064,0.00144537320028175,0.0533636473606899,46.9833655302252,0.15493554630818,36.9014268713413,83.8847924015665,0.177357585978238,34.5496038587314,1.63679661240522,1.54355833276503,287.785681457939,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010602918225128,59.1279446256717,475.543971072539,0.00301601387369019,5.20732476410738e-05
18,0.0493150684931507,4.09704587403539,3.79124093885367,0.424873654804227,525.240436862446,525.240436862446,0.0901350092287786,17.0227639896054,0.00201628933339407,115.855583071715,0.185796191513289,21.2235064325111,2317.1116614343,0.00962759895325953,0.0148636953210631,0.170932496192226,0.0289780013422545,94.5709110533631,0.0104320804832116,0.0185459208590429,0.00144890006711273,0.053519476045116,47.3461579110563,0.155326481585264,37.1716524665451,84.5178103776014,0.178499880889768,34.7973446991544,1.64067846951953,1.54844243795845,290.130864299816,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106216398560148,59.2722232013665,476.704349760838,0.00301681288284776,5.20733855766014e-05
19,0.0520547945205479,4.10788210191331,3.80218429790487,0.422200709550514,529.258800257575,529.258800257575,0.0903734062420928,17.1438202144893,0.00202119435725417,116.059572121885,0.18622937229899,21.3722777927524,2321.19144243769,0.00964455044332861,0.0148983497839192,0.171331022515071,0.0290484960801116,95.2434456360514,0.0104574585888402,0.0185910374912714,0.00145242480400558,0.0536753501418421,47.7056784486612,0.155717243401238,37.4390975235217,85.1447759721829,0.179626252477253,35.0425147386304,1.6445623260635,1.55332525744194,292.455786117958,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106403415721344,59.4164146446423,477.864027675641,0.00301760984800886,5.20735231232435e-05
20,0.0547945205479452,4.11871637060177,3.81311217356427,0.419583557665126,533.240075216328,533.240075216328,0.0906117601532389,17.2636066754978,0.00202609641980634,116.263344691368,0.186662181880333,21.5194350685838,2325.26689382736,0.00966148394385267,0.0149329745504266,0.171729207329906,0.0291189482582112,95.9089259749877,0.010482821372956,0.0186361268852552,0.00145594741291056,0.053831269599696,48.0619857275312,0.156107831851681,37.7038113221639,85.7657970496951,0.18073696939568,35.2851626692573,1.64844817990614,1.55820679267253,294.760754453804,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0106590234413046,59.5605190352806,479.023005458599,0.00301840477974077,5.20736602831187e-05
21,0.0575342465753425,4.12954868052428,3.82402482948454,0.417021034552586,537.184872454388,537.184872454388,0.0908500709715342,17.3821458795784,0.0020309955237621,116.46690151527,0.187094620551432,21.6650067767245,2329.3380303054,0.00967839951591895,0.0149675696441146,0.172127050907317,0.0291893579155232,96.5674771087689,0.0105081688495884,0.0186811890659348,0.00145946789577616,0.0539872343675252,48.4151373499626,0.156498247032122,37.9658422938592,86.3809796438218,0.181832295593034,35.5253362996321,1.65233602892482,1.56308704510008,297.046072625441,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.01067768553092,59.7045364529913,480.181283750789,0.00301919768852757,5.20737970583287e-05
22,0.0602739726027397,4.14037903210438,3.83492252468986,0.41451199992645,541.093793173729,541.093793173729,0.0910883387062963,17.4994599438374,0.00203589167183052,116.670243324116,0.187526688606267,21.8090209371042,2333.40486648232,0.00969529722023404,0.0150021350885014,0.172524553517766,0.0292597250909819,97.2192219102078,0.0105335010327535,0.0187262240582284,0.0014629862545491,0.0541432443941967,48.7651899518134,0.156888489038042,38.2252380355286,86.990427987342,0.182912490387786,35.7630825707981,1.65622587100514,1.56796601616745,299.312039768277,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010696327907955,59.8484669774114,481.338863192703,0.00301998858477102,5.20739334509577e-05
23,0.063013698630137,4.15120742576566,3.84580551365223,0.412055337301887,544.96742919291,544.96742919291,0.0913265633668445,17.6155706020375,0.0020407848667182,116.873370843892,0.187958386338684,21.951505081194,2337.46741687784,0.00971217711712741,0.0150366709070947,0.172921715431589,0.0293300498234867,97.8642811224304,0.0105588179364552,0.0187712318870315,0.00146650249117434,0.0542992996285972,49.1121992180205,0.157278557964876,38.4820453234448,87.5942445414653,0.183977808545255,35.9984475719018,1.6601177040409,1.57284370731043,301.558950875919,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.010714950638968,59.9923106881066,482.495744424257,0.00302077747879148,5.20740694630733e-05
24,0.0657534246575342,4.16203386193178,3.85667404636669,0.409649953498868,548.806363076085,548.806363076085,0.0915647449624992,17.7304992109924,0.00204567511112933,117.076284796086,0.188389714042392,22.0924862602049,2341.52569592171,0.00972903926655472,0.0150711771233914,0.173318536919001,0.0294003321519018,98.5027733944024,0.0105841195746846,0.0188162125772172,0.00147001660759509,0.0544554000196332,49.4562198978831,0.157668453908007,38.7363101268329,88.192530024716,0.185028500352835,36.2314765555654,1.66401152593406,1.57772011995786,303.787096841196,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107335537901052,60.1360676645706,483.65192808479,0.00302156438082867,5.20742050967263e-05
25,0.0684931506849315,4.1728583410264,3.86752836842545,0.407294778155711,552.611168260748,552.611168260748,0.0918028835025808,17.8442667568608,0.00205056240776559,117.278985897727,0.188820672010967,22.2319910531551,2345.57971795455,0.00974588372810115,0.0151056537608774,0.17371501825009,0.0294705721150559,99.1348153158931,0.0106094059614201,0.0188611661536358,0.0014735286057528,0.0546115455162302,49.7973058201137,0.158058176962771,38.9880776212577,88.7853834413714,0.186064811694109,36.462213952982,1.66790733459466,1.58259525553166,305.996764497346,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107521374271036,60.2797379862244,484.807414813054,0.00302234930104262,5.20743403539509e-05
26,0.0712328767123288,4.18368086347325,3.8783687210909,0.404988763252786,556.382409184179,556.382409184179,0.0920409789964115,17.956893861339,0.00205544675932628,117.481474861429,0.189251260537849,22.3700455748084,2349.62949722858,0.00976271056098473,0.0151401008430279,0.174111159694821,0.029540769751743,99.7605214518836,0.0106346771106275,0.0189060926411155,0.00147703848758715,0.0547677360673336,50.1355099076604,0.158447727224455,39.2373922017998,89.3729021094602,0.187086984121863,36.6907033887347,1.67180512794078,1.58746911544688,308.188236659292,0.016,0.696,0.978,0.01,0.01,0.061,2.2,0.04,1.05,0.1,0.12,0.05,0.0107707016152958,60.4233217324181,485.962205247233,0.00302313224951442,5.20744752367651e-05
