chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfos,Free fraction / unbound fraction,in vivo,monkey,0.025,,,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,,,
pfos,Free fraction / unbound fraction,in vivo,beef cattle?,0.014,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,,,
pfos,Free fraction / unbound fraction,in vivo,beef cattle,0.01,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,,,
pfos,Free fraction / unbound fraction,in vivo,diary cow,0.015,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,,,
pfos,Free fraction / unbound fraction,in vivo,rats?,0.03,,,,,"Fabrega et al., 2016",https://doi.org/10.1016/j.yrtph.2016.03.009,,,
pfhxs,Free fraction / unbound fraction,in vitro,,0.03,,,,,"Fischer et al., 2024",https://doi.org/10.1021/acs.est.3c07415,calculated by CV,,
pfna,Free fraction / unbound fraction,,,0.02,,,,,EFSA 2020 + associated ref,,,,
pfna,Free fraction / unbound fraction,,,0.01,,,,,"F…brega et al., 2015",https://doi.org/10.1080/02772248.2015.1060976 ,"Rylander et al., 2009 ; Haug et al., 2010",,
pfna,Free fraction / unbound fraction,,,0.0016,,,,,Smeltz 2023,,,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.57,,,whole blood,"5 (F), 14 (M)","Nielsen et al., 2024",10.1021/acs.est.3c06499,"between 29 and 84, years; 5 were women and 14 were men, n=19",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.54,,,serum,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.58,,,serum,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfoa,partition coefficient,,human,0.1,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019",,
pfoa,partition coefficient,,dairy cow,0.05,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfoa,partition coefficient,,human,0.58,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019",,
