chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.77,,,whole blood,"5 (F), 14 (M)","Nielsen et al., 2024",10.1021/acs.est.3c06499,"between 29 and 84, years; 5 were women and 14 were men, n=19",,
pfos,partition coefficient,,mice,0.29,,,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,,,
pfos,partition coefficient,,human,0.09,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019",,
pfos,partition coefficient,,human,0.09,,,,,"Brohot et al., 2019",10.1016/j.taap.2019.114640,,,
pfna,partition coefficient,,,0.1,,,,,,,,,
pfoa,partition coefficient,,human,0.1,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019",,
pfoa,partition coefficient,in vivo,mice,0.25,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfos,partition coefficient,in vivo,mice,0.55,,,plasma,,Zhu et al. 2023,https://doi.org/10.1289/EHP119,,,
pfos,partition coefficient,,human,0.09,,,plasma,,"Brochot et al., 2019",10.1016/j.taap.2019.114640,muscle,,
pfos,partition coefficient,,dairy cow,0.08,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,,beef cattle,0.13,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,,human,0.09,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019 / muscle",,
pfos,partition coefficient,,mice,0.2,,,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007),,
pfhxs,partition coefficient,,dairy cow,0.1,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,partition coefficient,,beef cattle,0.1,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfna,partition coefficient,,,0.12,,,,,"Fragki et al., 2023",,based on PFOA,,
pfna,partition coefficient,,rats,0.066,,,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,,,
pfos,partition coefficient,,mice,0.57,,,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,cit. de Pierre personal communication,,
pfos,partition coefficient,,human,0.55,,,plasma,,"Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from Brochot et al., 2019",,
pfos,partition coefficient,,human,0.55,,,plasma,,"Brochot et al., 2019",10.1016/j.taap.2019.114640,,,
pfna,partition coefficient,,rats,0.05,,,,,"Fragki et al., 2023",,,,
pfoa,HalfLife,in vivo ,human,5.5,,year,plasma,1 (M),Monien et al. 2024,https://doi.org/10.1016/j.envint.2024.109047,,,
