"","tSI.fup.CP","tSI.PL.CP","tSI.PA.CP","tSI.PK.CP","tSI.PSk.CP","tSI.PR.CP","tSI.PG.CP","tSI.VSk.CP","tSI.VK.CP","tSI.VFil.CP","tSI.VG.CP","tSI.VL.CP","tSI.VA.CP","tSI.VR.CP","tSI.VP.CP","tSI.QSk.CP","tSI.QK.CP","tSI.QG.CP","tSI.QL.CP","tSI.QA.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","Times","Year"
"0.01",0.011694896317643,0.545398291785614,0.0172054567252293,0.00266996350305859,0.00525854067711207,0.0152258140512396,0.00158863263737485,0.00710780644859227,0.00371114384015375,0.00264342223933761,0.00348859825877929,0.468408790244363,0.00313004778092418,0.00358240602253007,0.0141371873302356,0.00423532912130359,0.00409308007449438,0.0288710118882993,0.0103522836066854,0.00852937651286184,0.00430414626783471,0.00346556026205064,0.00279048696039647,0.0041831558263255,0.00341147459106383,0.00363765656552401,0.01,1.14155251141553e-06
"1.01",0.000701520402277389,0.505056473818706,0.0269717060990065,0.000867279827475864,0.00293044926288305,0.00136252186131408,0.000473537134098256,0.00522688513734482,0.00202105432301819,0.000905578959034314,0.00153760841723838,0.49655987569279,0.00161819936463636,0.00163973937419126,0.0018597009951406,0.00183887436374469,0.00175142873471912,0.0016426755186435,0.00162301010555665,0.00182091800522538,0.00176540739657122,0.00148459980587895,0.00174167109621898,0.00165333047355359,0.00168087129370798,0.00169850057256454,1.01,0.000115296803652968
"2.01",0.000701521587898157,0.505056478532736,0.0269717058059686,0.00086727980485618,0.00293044959334049,0.00136252235198325,0.000473537214316477,0.00522688667919774,0.00202105509324413,0.000905579008164736,0.00153760858524166,0.496559891974429,0.00161819959503046,0.00163973957876484,0.0018597013941164,0.00183887456908732,0.00175142871747525,0.00164267547876457,0.00162301015947119,0.0018209181856958,0.00176540751749044,0.00148459959458902,0.00174167144148635,0.00165333100288834,0.00168087115186083,0.00169850100879998,2.01,0.000229452054794521
"3.01",0.000701522731437088,0.505056481099943,0.0269717039945445,0.000867279862494408,0.00293044941217713,0.0013625227975782,0.000473537348654962,0.00522688798421345,0.00202105581586992,0.000905579080016983,0.00153760899733074,0.49655990853871,0.0016181998656255,0.00163973973434917,0.00185970185831025,0.00183887480597844,0.00175142884442281,0.00164267539444213,0.00162301000982351,0.00182091838693771,0.00176540755781068,0.00148459938813111,0.00174167177764845,0.00165333149132191,0.00168087115375293,0.00169850142432182,3.01,0.000343607305936073
"4.01",0.00070152392925027,0.505056484623953,0.0269717060961158,0.000867279894068318,0.00293044967031331,0.00136252332349468,0.000473537479303843,0.0052268893070247,0.00202105647858192,0.000905579164445114,0.00153760928870228,0.496559925014548,0.00161820009744096,0.00163973992966665,0.00185970226097359,0.00183887502758417,0.00175142893543706,0.00164267532059842,0.00162300994946857,0.00182091856335032,0.00176540774824419,0.00148459904268083,0.00174167211304971,0.00165333201082624,0.00168087101733949,0.00169850170455882,4.01,0.000457762557077626
"5.01",0.000701525114355561,0.505056488200066,0.0269717055926493,0.000867279905755192,0.00293044971638706,0.00136252378235047,0.000473537609143537,0.00522689066735549,0.00202105720621498,0.000905579234588672,0.00153760959551252,0.49655994145729,0.00161820033614307,0.00163974011403317,0.00185970267404484,0.00183887525984477,0.00175142902693304,0.00164267524997247,0.00162300988335423,0.00182091874624773,0.00176540781901646,0.00148459878337487,0.00174167245729506,0.00165333248288407,0.00168087090207258,0.00169850205188427,5.01,0.000571917808219178
"6.01",0.000701526279186182,0.505056491781084,0.026971704226918,0.00086727993370217,0.00293044994126618,0.00136252424749905,0.000473537739718921,0.00522689203522558,0.00202105787869944,0.000905579309229798,0.00153760988827967,0.496559957912373,0.00161820057516426,0.00163974029648867,0.00185970307616629,0.00183887549963591,0.00175142911866549,0.00164267517222932,0.00162300981843344,0.00182091891601227,0.00176540791594493,0.00148459851187926,0.00174167282202209,0.00165333297015074,0.00168087078447493,0.001698502389747,6.01,0.000686073059360731
"7.01",0.000701527453193351,0.505056495361331,0.0269717036163842,0.00086727996217778,0.00293044996409358,0.00136252477670606,0.000473537870437135,0.00522689338225707,0.00202105858822516,0.000905579384181121,0.00153761017652038,0.496559974364443,0.00161820081416086,0.00163974047891385,0.00185970348955833,0.00183887572825647,0.0017514292105672,0.0016426750978224,0.00162300975261559,0.0018209190874735,0.00176540804396724,0.00148459825660296,0.00174167315268847,0.001653333506902,0.0016808706681915,0.0016985027309368,7.01,0.000800228310502283
"8.01",0.000701528624240388,0.505056498939487,0.0269717029798063,0.000867279990574121,0.00293045022132271,0.00136252518571717,0.000473538001119544,0.00522689472210364,0.00202105930074498,0.000905579459090367,0.00153761047039408,0.496559990816558,0.00161820105314053,0.00163974066142897,0.00185970390350182,0.00183887596172139,0.00175142930246752,0.00164267502305199,0.00162300968718643,0.00182091925876526,0.00176540815337967,0.00148459798603179,0.00174167349816179,0.00165333394149902,0.00168087055193383,0.00169850307264552,8.01,0.000914383561643836
"9.01",0.000701529795082811,0.505056502518418,0.0269717023424265,0.000867280019000383,0.00293045022400529,0.00136252568769923,0.000473538131770146,0.00522689609581678,0.0020210600133902,0.000905579533999612,0.00153761076615999,0.496560007268904,0.00161820129207874,0.00163974084393059,0.00185970431729882,0.00183887619524248,0.0017514293943417,0.00164267494829073,0.0016230096216987,0.00182091943013618,0.00176540826542315,0.0014845977246159,0.00174167384487162,0.00165333450214272,0.00168087043567222,0.00169850341435396,9.01,0.00102853881278539
"10.01",0.000701530965955766,0.505056506097242,0.0269717017063599,0.000867280047425478,0.00293045037688677,0.00136252618178828,0.000473538262452333,0.00522689743875537,0.00202106072589969,0.000905579608920348,0.00153761106183037,0.496560023721023,0.00161820153108477,0.00163974102641234,0.00185970473112129,0.00183887642876412,0.00175142948623824,0.00164267487351188,0.00162300955620892,0.00182091960149494,0.00176540837631117,0.00148459745983887,0.00174167418761362,0.00165333493128983,0.0016808703195158,0.00169850375609182,10.01,0.00114269406392694
"11.01",0.00070153213684232,0.505056509676207,0.0269717010695765,0.000867280075812549,0.00293045049941698,0.00136252665954695,0.000473538393089445,0.00522689877993116,0.00202106143848363,0.00090557968383409,0.00153761135748404,0.496560040173309,0.00161820177004063,0.00163974120890842,0.00185970514492323,0.00183887666236709,0.0017514295781399,0.00164267479873514,0.0016230094906895,0.00182091977283472,0.00176540848769041,0.00148459719490623,0.0017416745323458,0.00165333545701923,0.00168087020301338,0.00169850409783145,11.01,0.00125684931506849
"12.01",0.000701533307727764,0.505056513254995,0.0269717004328708,0.000867280104317969,0.00293045062192665,0.00136252713871077,0.0004735385237708,0.00522690014558724,0.00202106215103559,0.000905579758750941,0.00153761165315836,0.496560056625514,0.00161820200901519,0.00163974139139889,0.00185970555873577,0.00183887689582551,0.00175142967004083,0.00164267472397084,0.00162300942521443,0.00182091994418421,0.00176540859916124,0.00148459693490199,0.00174167487685328,0.00165333595114492,0.00168087008747597,0.00169850443965541,12.01,0.00137100456621005
"13.01",0.000701534478617427,0.505056516833874,0.0269716997960959,0.000867280132658521,0.00293045074446341,0.00136252761803857,0.000473538654440941,0.00522690149846322,0.00202106286360842,0.000905579833668679,0.00153761194882035,0.496560073077738,0.00161820224798892,0.00163974157389157,0.00185970597254764,0.0018388771295102,0.00175142976194659,0.00164267464919476,0.00162300935969556,0.00182092011552976,0.00176540871062675,0.00148459667079914,0.00174167522138491,0.00165333644651205,0.00168086996856082,0.00169850478136463,13.01,0.0014851598173516
"14.01",0.000701535649510088,0.505056520412704,0.0269716991593258,0.000867280161104822,0.00293045086698274,0.00136252809719434,0.000473538785109584,0.00522690285147914,0.00202106357617349,0.000905579908586751,0.00153761224449606,0.496560089529955,0.00161820248696382,0.00163974175638382,0.00185970638636046,0.00183887736257421,0.0017514298538352,0.00164267457442574,0.00162300929430181,0.00182092028687769,0.00176540882209025,0.00148459640568621,0.00174167556591887,0.00165333694165654,0.00168086986110688,0.001698505123164,14.01,0.00159931506849315
"15.01",0.000701536820406135,0.50505652399154,0.0269716985225424,0.000867280189530917,0.00293045098951267,0.00136252857661989,0.000473538915779226,0.00522690420442201,0.00202106428874355,0.000905579983505433,0.00153761254017026,0.496560105982162,0.00161820272593932,0.0016397419388775,0.00185970680017417,0.00183887759703699,0.00175142994573635,0.0016426744996561,0.00162300922862862,0.00182092045822635,0.00176540893355559,0.00148459614178592,0.00174167591045443,0.00165333743679907,0.00168086973668352,0.00169850546497202,15.01,0.0017134703196347
"16.01",0.000701537991305012,0.505056527570368,0.0269716978857475,0.000867280217958788,0.00293045111204471,0.00136252905569856,0.000473539046449645,0.00522690555736355,0.00202106500131699,0.000905580058424671,0.0015376128358478,0.496560122434359,0.00161820296491566,0.00163974212137169,0.00185970721398843,0.00183887782995712,0.00175143003763745,0.00164267442488841,0.0016230091632144,0.00182092062957601,0.0017654090450217,0.00148459587801703,0.00174167625499,0.0016533379319299,0.00168086962231501,0.00169850580679515,16.01,0.00182762557077626
"17.01",0.000701539162207332,0.505056531149191,0.0269716972489318,0.000867280246387547,0.00293045123457852,0.00136252953541244,0.000473539177120841,0.00522690691030886,0.00202106571389205,0.000905580133344408,0.00153761313152723,0.496560138886549,0.00161820320389278,0.00163974230386676,0.00185970762780335,0.00183887806352878,0.00175143012953888,0.0016426743501205,0.00162300909780255,0.00182092080092644,0.00176540915648882,0.00148459561432901,0.00174167659952773,0.00165333842707865,0.00168086950553586,0.00169850614863404,17.01,0.00194178082191781
"18.01",0.000701540333112649,0.505056534728009,0.026971696612119,0.000867280274817528,0.00293045135711512,0.00136253001372216,0.000473539307792703,0.00522690826325789,0.00202106642647049,0.000905580208264645,0.00153761342721076,0.496560155338732,0.00161820344287067,0.00163974248636267,0.00185970804161906,0.00183887829707335,0.00175143022144197,0.00164267427535542,0.0016230090322874,0.00182092097227754,0.00176540926795693,0.00148459535063117,0.00174167694406629,0.00165333892219716,0.00168086938928258,0.00169850649048864,18.01,0.00205593607305936
"19.01",0.000701541504021352,0.505056538306819,0.0269716959752814,0.00086728030324823,0.00293045147965376,0.0013625304941392,0.000473539438465398,0.00522690961621008,0.00202106713905137,0.000905580283185492,0.00153761372289601,0.496560171790908,0.00161820368184923,0.0016397426688593,0.00185970845543543,0.00183887853062414,0.00175143031334518,0.00164267420058822,0.00162300896680345,0.00182092114362969,0.00176540937942582,0.00148459508693732,0.00174167728860591,0.00165333941738688,0.00168086927301936,0.00169850683235939,19.01,0.00217009132420091
"20.01",0.000701542674932776,0.505056541885623,0.026971695338433,0.000867280331680043,0.00293045160219468,0.00136253097054623,0.000473539569138925,0.00522691096916528,0.00202106785163497,0.000905580358106783,0.00153761401858415,0.496560188243076,0.00161820392082851,0.00163974285135687,0.00185970886925241,0.00183887876418293,0.00175143040524994,0.00164267412582397,0.00162300890131406,0.0018209213149824,0.00176540949089571,0.0014845948232452,0.00174167763314659,0.00165333991247374,0.00168086915675852,0.00169850717424586,20.01,0.00228424657534247
"21.01",0.000701543845847585,0.505056545464421,0.0269716947015608,0.00086728036011291,0.00293045172473771,0.00136253145219212,0.000473539699813119,0.00522691232212424,0.00202106856422118,0.000905580433028963,0.00153761431427513,0.496560204695235,0.00161820415980873,0.00163974303385517,0.00185970928307022,0.0018388789976912,0.00175143049715532,0.00164267405106017,0.00162300883583594,0.00182092148633689,0.00176540960236654,0.00148459455955263,0.00174167797768854,0.00165334040776011,0.00168086904049874,0.0016985075161482,21.01,0.00239840182648402
"22.01",0.000701545016765615,0.505056549043214,0.0269716940646737,0.000867280388546776,0.00293045184728347,0.00136253193125913,0.000473539830487923,0.00522691367508649,0.00202106927681012,0.00090558050795142,0.00153761460996843,0.496560221147386,0.00161820439878946,0.00163974321635418,0.00185970969688853,0.00183887923127635,0.00175143058906191,0.0016426739762973,0.00162300877034688,0.00182092165769004,0.0017654097138381,0.00148459429586284,0.00174167832223165,0.00165334090278985,0.00168086892423985,0.00169850785806636,22.01,0.00251255707762557
"23.01",0.000701546187686697,0.505056552622001,0.0269716934277795,0.000867280416981475,0.0029304519698311,0.00136253241046935,0.000473539961163616,0.00522691502805228,0.00202106998940188,0.000905580582874654,0.0015376149056649,0.496560237599529,0.00161820463777107,0.0016397433988542,0.00185971011070762,0.00183887946481337,0.00175143068096856,0.0016426739015355,0.00162300870486726,0.00182092182904664,0.00176540982531054,0.00148459403217061,0.00174167866677588,0.00165334139794582,0.00168086880798157,0.00169850820000039,23.01,0.00262671232876712
