"Tissue","Value"
"KpAd",516.257587766531
"KpBr",772.300771032489
"KpGu",1106.99846711326
"KpHe",1430.27162033067
"KpKi",1451.71420655644
"KpLi",1522.64806469592
"KpLu",1523.37244739497
"KpMu",1432.87109787562
"KpSk",2514.66504895292
"KpSp",1603.86435572795
"KpGo",1021.31586487058
