"Tissue","Value"
"KpAd",5.16257587766531
"KpBr",7.72300771032489
"KpGu",11.0699846711326
"KpHe",14.3027162033067
"KpKi",14.5171420655644
"KpLi",15.2264806469592
"KpLu",15.2337244739497
"KpMu",14.3287109787562
"KpSk",25.1466504895292
"KpSp",16.0386435572795
"KpGo",10.2131586487058
