"Tissue","Value"
"KpAd",107.847766385292
"KpBr",112.288483206084
"KpGo",34.9399740289827
"KpGu",37.6657226811084
"KpHe",31.8433672098192
"KpKi",94.988074038226
"KpLi",80.1203347602806
"KpLu",50.638375316349
"KpMu",34.4428447547777
"KpSk",130.316222602733
"KpSp",42.2543010995042
