"","tSI.fup.CP","tSI.PL.CP","tSI.PA.CP","tSI.PK.CP","tSI.PSk.CP","tSI.PR.CP","tSI.PG.CP","tSI.VSk.CP","tSI.VK.CP","tSI.VFil.CP","tSI.VG.CP","tSI.VL.CP","tSI.VA.CP","tSI.VR.CP","tSI.VP.CP","tSI.QSk.CP","tSI.QK.CP","tSI.QG.CP","tSI.QL.CP","tSI.QA.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","Times","Year"
"0.01",0.000517574035707957,0.470819108016478,0.019197181509952,0.00468126717670392,0.00349139910561189,0.226538569517258,0.000939910728805882,0.00259424455374093,0.00285693692444575,0.00113848047459262,0.000999767945593777,0.248923742971458,0.0108977379880896,0.137880490098029,0.10691202855686,0.00399501382534251,0.00171149533790766,0.0179759683059584,0.00518498673728576,0.00744980473094068,0.00359337368258279,0.00259869051545403,0.00524497983674264,0.00407226663806097,0.00276074087845957,0.00301991008254263,0.01,1.14155251141553e-06
"1.01",0.00092933563867692,0.367213200594284,0.0328193403110351,0.00445426130473163,0.0034517881550256,0.27218401768148,0.00099729980350407,0.00286233900418682,0.00290170956818736,0.00108031073597759,0.00100523637289947,0.196430436473645,0.0222847357566617,0.172622687626345,0.126574827533283,0.00447941253029811,0.00208871171523275,0.00329071936630583,0.00230196129542137,0.00360296403805949,0.00434621310332384,0.00182422450358415,0.00422639291909761,0.00547896420907141,0.00253722946661712,0.00309252990101214,1.01,0.000115296803652968
"2.01",0.000928771734616629,0.367169395106742,0.0328352247682204,0.0045096657872518,0.00345011768329722,0.272068888117624,0.000996651809499283,0.00286302625945931,0.00290011731110083,0.00107996981699539,0.00100498487676575,0.196480623957127,0.0222772493934705,0.172594932868428,0.126572173273047,0.00448100515016932,0.00208656845167634,0.00328975072337714,0.00230253801994003,0.00360171684168378,0.00434564638490065,0.00182362817346211,0.0042268875946371,0.00548058910408749,0.00253648397020476,0.00309653352270167,2.01,0.000229452054794521
"3.01",0.000928967871828723,0.367124914429163,0.0328510675525763,0.00456562724026628,0.0034484432534801,0.271953562856885,0.000996004247118343,0.0028637122166747,0.00289852553568077,0.00107962903814718,0.00100473407831323,0.196530613370419,0.022269746586034,0.172566927912096,0.126569367698588,0.00448258937453807,0.00208441109627315,0.00328877276617419,0.00230311257878753,0.0036004542075504,0.00434501294643455,0.00182340208579526,0.00422783609565978,0.00548272184180498,0.00253573464203516,0.00310055214863507,3.01,0.000343607305936073
"4.01",0.00092992191780914,0.367079757987869,0.0328668685809513,0.00462214659467739,0.0034467648480387,0.271838042684188,0.000995357114873174,0.00286439688159397,0.00289693425072834,0.00107928840898204,0.00100448397312696,0.19658040419244,0.0222622273028954,0.172538672454509,0.126566410645344,0.00448416518902479,0.00208223976016002,0.00328778546793298,0.00230368494377986,0.00359917611453044,0.00434431271916273,0.00182354632632435,0.00422923875279744,0.00548536309393008,0.00253498150674707,0.00310458584636617,4.01,0.000457762557077626
"5.01",0.000931631714588654,0.367033925173955,0.0328826276360184,0.00467922477969498,0.00344508246368149,0.271722328254886,0.000994710415828282,0.00286508024368504,0.0028953434589907,0.00107894792620666,0.00100423455766927,0.196629995692863,0.0222546915640221,0.172510166197802,0.126563302004013,0.00448573256875997,0.00208005453474926,0.0032867888039193,0.0023042551037137,0.00359788255447553,0.00434354565355319,0.00182406098390311,0.00423109588026598,0.00548851351014801,0.0025342245687082,0.0031086346659551,5.01,0.000571917808219178
"6.01",0.00093409508449227,0.366987415377426,0.0328983445148951,0.00473686272392766,0.00344339609958972,0.271606420222731,0.000994064152980645,0.0028657623001183,0.00289375316273253,0.00107860758695584,0.00100398582988557,0.196679387168438,0.0222471393715743,0.172481408852098,0.126560041676864,0.00448729148442426,0.00207785552909683,0.00328578274926192,0.00230482304658348,0.00359657352039082,0.00434271171024922,0.00182494614719362,0.00423340779107575,0.00549217372189317,0.00253346382898807,0.00311269866601094,6.01,0.000686073059360731
"7.01",0.000937309831855915,0.366940227998995,0.0329140190156526,0.0047950613532042,0.00344170575477467,0.27149031923826,0.000993418329185403,0.00286644304775712,0.0028921633641469,0.00107826738827361,0.00100373778864882,0.196728577914445,0.0222395707290415,0.172452400115241,0.12655662956383,0.00448884190822238,0.00207564284974751,0.00328476727840921,0.00230538876041557,0.00359524900519594,0.00434181085953094,0.00182620190337714,0.0042361747923366,0.00549634434217461,0.00253269929206665,0.00311677790307747,7.01,0.000800228310502283
"8.01",0.000941273742729942,0.366892362447677,0.03292965093644,0.00485382159072878,0.00344001142790549,0.271374025952351,0.000992772947285703,0.00286712248359533,0.00289057406544659,0.00107792732720036,0.00100349043237058,0.196777567225985,0.0222319856396877,0.172423139695855,0.126553065566653,0.00449038381244109,0.00207341660477365,0.00328374236616871,0.00230595223335912,0.00359390900265213,0.00434084308230782,0.00182782833825412,0.00423939718512742,0.00550102596414728,0.00253193096199451,0.00312087243430887,8.01,0.000914383561643836
"9.01",0.000945984585206827,0.366843818141816,0.0329452400753597,0.00491314435715515,0.00343831311764111,0.271257541014145,0.000992128010164439,0.00286780060459053,0.00288898526882664,0.00107758740074935,0.00100324375933691,0.19682635439888,0.0222243841067662,0.172393627304901,0.126549349589266,0.00449191716946336,0.00207117690317284,0.00328270798781565,0.00230651345349093,0.00359255350721421,0.0043398083696865,0.00182982553601936,0.00424307526443253,0.00550621916113565,0.00253115884270478,0.00312498231686595,9.01,0.00102853881278539
"10.01",0.000951440110167567,0.366794594504759,0.0329607862307526,0.00497303057101581,0.00343661082278988,0.271140865072255,0.000991483520684033,0.00286847740773379,0.00288739697660954,0.00107724760597745,0.00100299776790775,0.196874938727839,0.022216766133528,0.172363862654302,0.126545481535985,0.00449344195178116,0.0020689238547261,0.00328166411846724,0.00230707240899588,0.00359118251450565,0.00433870672307921,0.00183219357969975,0.00424720931933671,0.00551192448719879,0.00253038293810774,0.00312910760784062,10.01,0.00114269406392694
"11.01",0.000957638051276888,0.366744690973179,0.0329762892011797,0.00503348114799662,0.00343490454194793,0.271023998771096,0.000990839481760597,0.0028691528900765,0.00288580919083326,0.00107690793983415,0.00100275245628232,0.196923319509923,0.0222091317231654,0.172333845458176,0.126541461314121,0.00449495813175842,0.00206665757027609,0.00328061073431845,0.00230762908781688,0.00358979602018155,0.00433753815405444,0.00183493255038574,0.00425179963273739,0.00551814247579621,0.00252960325244831,0.00313324836506477,11.01,0.00125684931506849
"12.01",0.000964576126123084,0.366694106979882,0.0329917487854936,0.0050944970023908,0.00343319427461795,0.270906942758521,0.000990195896174551,0.0028698270486444,0.00288422191412077,0.00107656839948866,0.00100250782294242,0.196971496037958,0.0222014808791238,0.172303575432035,0.126537288829471,0.00449646568212281,0.00206437816107203,0.00327954780983843,0.00230818347840311,0.00358839402203972,0.00433630268481857,0.00183804252887403,0.00425684648174547,0.00552487364199707,0.00252881978943083,0.00313740464512076,12.01,0.00137100456621005
"13.01",0.000972252035333865,0.366642841989419,0.0330071647824496,0.00515607904428736,0.00343148001864677,0.270789697668692,0.000989552766989998,0.00287049988069117,0.00288263514778304,0.00107622898162734,0.0010022638657061,0.197019467613618,0.0221938136033018,0.172273052294954,0.126532963994872,0.00449796457517764,0.00206208574021616,0.00327847532468644,0.00230873556806335,0.00358697651598079,0.00433500034731342,0.0018415235923074,0.0042623501371077,0.00553211847799895,0.00252803255421215,0.00314157650804801,13.01,0.0014851598173516
"14.01",0.000980663465292575,0.366590895427026,0.033022536993129,0.00521822818266149,0.00342976177594609,0.270672264158543,0.000988910096378315,0.00287117138230071,0.00288104889640362,0.00107588968498611,0.00100202058348866,0.197067233519681,0.0221861299008224,0.172242275765635,0.126528486717304,0.00449945478799203,0.0020597804182092,0.00327739324932437,0.00230928534758246,0.00358554350359277,0.00433363118615222,0.0018453758211457,0.00426831086300066,0.00553987745853586,0.0025272415476661,0.00314576400468405,14.01,0.00159931506849315
"15.01",0.000989808084115507,0.366538266817448,0.0330378652143759,0.00528094532389889,0.00342803954049797,0.270554642839934,0.000988267888368966,0.00287184155312661,0.00287946315740104,0.00107555050326749,0.00100177797409886,0.197114793081921,0.0221784297777701,0.172211245571549,0.126523856913691,0.00450093628083559,0.00205746231419852,0.00327630156630589,0.00230983280209693,0.00358409497885421,0.00433219524923552,0.00184959928513444,0.00427472891945944,0.00554815103673554,0.00252644677927569,0.00314996720564575,15.01,0.0017134703196347
"16.01",0.000999683550743779,0.366484955548962,0.0330531492463248,0.00534423137704605,0.00342631331780607,0.270436834380091,0.00098762614537895,0.00287251038879017,0.00287787793843313,0.00107521143483968,0.00100153603552655,0.197162145552337,0.0221707132271376,0.172179961424333,0.126519074482272,0.00450240903908208,0.00205513153889592,0.00327520024397119,0.00231037791690518,0.00358263094869671,0.00433069260529029,0.00185419406688547,0.00428160456088922,0.0055569396580158,0.00252564825329478,0.0031541861616418,16.01,0.00182762557077626
"17.01",0.00101028749991914,0.366430961162932,0.0330683888794065,0.00540808723232726,0.00342458310177367,0.270318839388359,0.000986984868811902,0.00287317788485111,0.00287629323789547,0.00107487247795894,0.00100129476587658,0.197209290276319,0.0221629802664584,0.172148423050316,0.126514139354967,0.00450387303187907,0.0020527882079372,0.00327408926673369,0.00231092068687342,0.0035811514064479,0.0043291233201415,0.00185916023243038,0.00428893802975034,0.00556624370016032,0.00252484597121168,0.00315842092534802,17.01,0.00194178082191781
"18.01",0.00102161756628927,0.366376283134784,0.0330835839432622,0.00547251380273792,0.00342284889586382,0.270200658532361,0.000986344063628053,0.00287384404278555,0.0028747090602963,0.00107453362759919,0.0010010541644323,0.197256226519065,0.0221552308813836,0.172116630220086,0.126509051442134,0.00450532822862255,0.00205043243961509,0.00327296861166093,0.00231146109637232,0.00357965636035054,0.00432748749814629,0.0018644978584119,0.00429672956887972,0.00557606361141332,0.00252403993459227,0.0031626715691127,18.01,0.00205593607305936
"19.01",0.00103367134979533,0.366320920956281,0.033098734186792,0.0055375119672529,0.00342111069780922,0.270082292414997,0.000985703732420484,0.00287450885279552,0.00287312540491542,0.00107419488318614,0.00100081422682983,0.197302953618681,0.0221474650995278,0.172084582594022,0.126503810664473,0.00450677460985804,0.00204806434657658,0.003271838251659,0.00231199913434628,0.00357814580377311,0.00432578518713462,0.00187020701089289,0.00430497941513193,0.00558639970338524,0.00252323015807634,0.00316693813524567,19.01,0.00217009132420091
"20.01",0.00104644646836847,0.366264874123298,0.0331138394812786,0.00560308264018048,0.00341936850785312,0.269963741654654,0.000985063876270575,0.00287517232327161,0.0028715422780597,0.00107385624279326,0.00100057495516737,0.197349470742279,0.0221396828945773,0.172052279953306,0.126498416935357,0.0045082121418061,0.00204568405094028,0.00327069816790979,0.00231253478855882,0.0035766197537541,0.0043240165498686,0.00187628776366526,0.00431368778681485,0.00559725237927826,0.00252241663422004,0.00317122070226405,20.01,0.00228424657534247
"21.01",0.00105994049274709,0.366208142161001,0.0331288995691063,0.00566922669834649,0.00341762232569567,0.269845006907167,0.000984424499345149,0.00287583444248956,0.0028699596785827,0.00107351769826045,0.00100033634549752,0.197395777370275,0.0221318842915822,0.172019722027921,0.126492870181129,0.00450964080257807,0.00204329166959214,0.00326954833538509,0.00231306804762703,0.00357507820024316,0.00432218167448828,0.00188274017891921,0.00432285492092981,0.00560862193730141,0.00252159937580767,0.00317551931334719,21.01,0.00239840182648402
"22.01",0.00107415100280452,0.366150724590908,0.0331439142715785,0.00573594503590245,0.00341587215044141,0.269726088786013,0.000983785604202292,0.0028764952108453,0.00286837760944425,0.00107317925001711,0.00100009839356325,0.197441872680699,0.0221240692863628,0.171986908544236,0.126487170319907,0.00451106056132615,0.00204088732006835,0.00326838873406006,0.00231359889884117,0.0035735211540185,0.00432028066800783,0.00188956432701672,0.00433248102269725,0.00562050869760129,0.00252077838649032,0.00317983403355573,22.01,0.00251255707762557
"23.01",0.00108907555988214,0.366092620936123,0.0331588833890776,0.00580323853890044,0.00341411798265605,0.269606987916844,0.00098314719359125,0.00287715462561844,0.00286679607290359,0.00107284089444994,0.000999861100747501,0.197487756020825,0.0221162378825633,0.171953839246387,0.126481317276432,0.00451247139350575,0.00203847112242292,0.00326721934158705,0.00231412733086744,0.00357194861929482,0.0043183136885049,0.00189676027087347,0.00434256630556915,0.00563291294874417,0.00251995367045199,0.00318416492182441,23.01,0.00262671232876712
"24.01",0.00110471171385838,0.366033830735468,0.0331738067229325,0.00587110809140703,0.00341235982221966,0.269487704922095,0.000982509270338872,0.00287781268403731,0.00286521507106452,0.00107250262903751,0.000999624463915394,0.197533426675555,0.0221083900834441,0.171920513873186,0.126475310975224,0.00451387327219177,0.00203604319675046,0.00326604013655969,0.00231465333175158,0.00357036060233729,0.00431628086955109,0.00190432807485756,0.00435311097286826,0.00564583495702051,0.00251912523290307,0.00318851203757866,24.01,0.00274086757990868
"25.01",0.00112105700326623,0.365974353534394,0.0331886840752772,0.00593955457497455,0.00341059766917604,0.269368240421919,0.000981871837226067,0.00287846938436569,0.00286363460607324,0.00107216444964231,0.000999388481181973,0.19757888394486,0.0221005258921926,0.171886932175734,0.126469151342667,0.00451526617126041,0.00203360366399754,0.00326485109757881,0.00231517688965177,0.00356875710962687,0.004314182372763,0.00191226779993594,0.00436411522289646,0.00565927497310104,0.0025182930787027,0.00319287544082001,25.01,0.00285502283105023
