"Tissue","Value"
"KpAd",5.08809850993483
"KpBr",7.7230751180373
"KpGu",11.2561284824762
"KpHe",14.228447402269
"KpKi",14.4011656645718
"KpLi",15.1271687185343
"KpLu",15.0102258588628
"KpMu",14.2540893038885
"KpSk",24.9977572937022
"KpSp",15.9310903193942
"KpBo",22.2104512909619
