"","tSI.fup.CP","tSI.PL.CP","tSI.PA.CP","tSI.PK.CP","tSI.PSk.CP","tSI.PR.CP","tSI.PG.CP","tSI.VSk.CP","tSI.VK.CP","tSI.VFil.CP","tSI.VG.CP","tSI.VL.CP","tSI.VA.CP","tSI.VR.CP","tSI.VP.CP","tSI.QSk.CP","tSI.QK.CP","tSI.QG.CP","tSI.QL.CP","tSI.QA.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","Times","Year"
"0.01",0.000314678541193436,0.376807511157366,0.032152387939337,0.00219833615624543,0.00322613096368635,0.350886319224909,0.000661646137590788,0.0032843923477508,0.00261244994622689,0.00109554847526316,0.00112811398942519,0.209274300502106,0.0070621967976302,0.115810683519762,0.0918184519549883,0.00294362908604262,0.00267748279324209,0.0255021224895654,0.00647434073830266,0.00444228916039285,0.00399850287553399,0.0043625949235494,0.000659258932115547,0.00903878863315727,0.0036637402699351,0.00607624425277548,0.01,1.14155251141553e-06
"1.01",0.000307247344111805,0.311087718640076,0.0522934165302671,0.00240056613847339,0.003265994398094,0.370797869285606,0.000798431734491012,0.0033471237309341,0.00318698073795703,0.00115250593884558,0.00102417911110331,0.155559994348631,0.015100158164888,0.166183508240927,0.104736273596023,0.00285124939166498,0.00368983019105684,0.0054561507754457,0.00305411898276692,0.0023692926599318,0.00317460329206048,0.00256522679771165,0.000693110112262973,0.0124359373467463,0.00397184036533282,0.00654213457786401,1.01,0.000115296803652968
"2.01",0.000307661044426366,0.31104000590988,0.0523136842324499,0.00243046602249813,0.00326279592529122,0.370624986626207,0.000797835881691689,0.00334687543823931,0.00318608247576108,0.00115278073095104,0.00102335881387927,0.155558751189341,0.0150946357144249,0.166227811765656,0.104785743446818,0.00284909631988134,0.00368476006590085,0.00545613085705282,0.00305621166303099,0.00236654485620941,0.00317758637006055,0.00256265345869705,0.00069297571879906,0.0124412399800145,0.0039696819959274,0.00655181753115358,2.01,0.000229452054794521
"3.01",0.000308261776231389,0.310991554198243,0.0523338406685712,0.00246066402212985,0.00325959935542125,0.370451824479735,0.000797240965917101,0.00334662188139362,0.00318518444737853,0.00115305444976493,0.00102253917173795,0.155557308975432,0.0150891030667074,0.166271768543704,0.104835162923881,0.00284693352455595,0.00367965478007731,0.00545608956892885,0.00305829925060519,0.00236379953855309,0.00318054893452041,0.00256054651384263,0.000692969983215275,0.0124474878336706,0.00396751579463367,0.00656153759974232,3.01,0.000343607305936073
"4.01",0.000309049647579496,0.310942363041662,0.0523538855137033,0.00249116065517752,0.00325640468656568,0.370278384562318,0.000796646985192051,0.00334636303066144,0.00318428666173015,0.00115332709400917,0.00102172019101532,0.155555667654274,0.0150835601156332,0.166315377370424,0.104884531739758,0.00284476101862291,0.00367451460418095,0.00545602684440943,0.00306038169382356,0.00236105669518738,0.00318349080479702,0.00255890486797777,0.000693093146010626,0.0124546825363006,0.00396534180863084,0.00657129493933734,4.01,0.000457762557077626
"5.01",0.000310024766531802,0.310892431945002,0.0523738183529462,0.00252195643938097,0.0032532119197311,0.370104668351986,0.000796053940569974,0.00334609888218679,0.00318338911689314,0.00115359865878872,0.0010209018682385,0.155553826965808,0.015078006913997,0.166358636987496,0.104933849553994,0.0028425788233819,0.00366933976609707,0.00545594261185878,0.00306245895757723,0.00235831632786948,0.00318641180459639,0.00255772742454896,0.000693345439438997,0.0124628256657406,0.00396316005237318,0.00658108968889781,5.01,0.000571917808219178
"6.01",0.00031118724058804,0.310841760426191,0.0523936387749604,0.00255305189384303,0.00325002106372868,0.369930677302392,0.000795461833026923,0.00334582943142731,0.0031824918125738,0.00115386913948162,0.00102008420475669,0.155551786670653,0.0150724434709738,0.166401546134488,0.104983116049918,0.00284038696069783,0.00366413053781833,0.00545583679990286,0.00306453100669118,0.00235557843667061,0.00318931175715509,0.00255701308557066,0.000693727095910535,0.0124719187579409,0.00396097053094546,0.00659092198942174,6.01,0.000686073059360731
"7.01",0.000312537176727745,0.310790348014295,0.0524133463675888,0.00258444753538806,0.00324683212421878,0.369756412859736,0.00079487066352224,0.0033455546732537,0.00318159474800184,0.00115413853160806,0.00101926720308743,0.155549546533165,0.0150668697969031,0.166444103551585,0.105032330902905,0.00283818545269771,0.0036588871851293,0.00545570933550288,0.00306659780570501,0.00235284302160116,0.00319219048553548,0.0025567607498726,0.000694238348028398,0.0124819633055878,0.00395877325784694,0.00660079198303026,7.01,0.000800228310502283
"8.01",0.000314074681314225,0.310738194253429,0.052432940719126,0.00261614387931947,0.00324364510643771,0.369581876470031,0.000794280433003003,0.00334527460282269,0.0031806979222791,0.00115440683074008,0.00101845086497532,0.155547106319388,0.0150612859022157,0.166486307982356,0.105081493787465,0.00283597432168925,0.00365360997768821,0.00545556014643839,0.00306865931941608,0.00235011008285346,0.00319504781412283,0.00255696931345351,0.000694879428408957,0.0124929607546316,0.00395656824541951,0.00661069981228612,8.01,0.000914383561643836
"9.01",0.000315799860078125,0.310685298700141,0.0524524214188961,0.00264814143970443,0.00324046001566669,0.369407069573023,0.000793691142429886,0.00334498921537013,0.00317980133463336,0.00115467403243469,0.00101763519206222,0.155544465795898,0.0150556917975116,0.166528158173876,0.105130604378622,0.00283375359029048,0.00364829918744924,0.00545538916179883,0.00307071551247695,0.0023473796206131,0.00319788356749467,0.00255763766907396,0.000695650569751682,0.0125049125044326,0.00395435550577083,0.00662064562016035,9.01,0.00102853881278539
